clusters9,Features9,weights
4,support,0.0302733548653422
4,member,0.029013785835933874
4,install,0.02864145451209901
4,renovate,0.026849210844397814
4,volunteer,0.025775385108484507
4,centre,0.023664272678181355
4,activity,0.02351172905520458
4,sport,0.02255054909859003
4,make,0.022384343865125115
4,age,0.02215890716425847
4,senior,0.021789554638681256
4,cost,0.021709890794496697
4,recreational,0.021406235946091357
4,event,0.020730422167267754
4,help,0.020686828978004727
4,space,0.02047692004091229
4,participate,0.02037447418060617
4,hire,0.02011646592469754
4,organization,0.019659128276437263
4,order,0.019625054048675265
4,physical,0.01947308593733931
4,access,0.018098023893560796
4,develop,0.01738603668682807
4,service,0.017282916722609953
4,county,0.017005058017382307
4,enable,0.016952503801621895
4,continue,0.014631055060540184
4,impact,0.01454758955385306
4,group,0.014233709242682673
4,assist,0.013381068600822365
4,local,0.013238109393387276
4,deliver,0.012786383068189263
4,resident,0.012563667560237345
4,family,0.012279415459855923
4,implement,0.01224525287420501
4,public,0.012123547254936452
4,offer,0.011887388563836428
4,skill,0.011856527121145896
4,opportunity,0.011813104172733345
4,promote,0.011607334129557617
4,woman,0.011551311069863235
4,young,0.01152889840275495
4,need,0.010689228833344059
4,expand,0.009637082487380188
4,accessible,0.00927164663902997
4,awareness,0.009212129183668974
4,create,0.00919419749737619
4,disability,0.008805873800304686
4,learn,0.008507873479033956
4,region,0.007666577070793716
4,social,0.007544585323267541
4,development,0.007444005254553778
4,food,0.007365080378633139
4,plan,0.0073075177613620935
4,adult,0.007239060170551259
4,coordinator,0.007136644847822108
4,cultural,0.006992844971560294
4,fund,0.006781801302465869
4,include,0.006205910757557048
4,work,0.006197448232643238
4,capacity,0.00603699959826426
4,education,0.00486683650047374
4,festival,0.004788624912269198
4,initiative,0.004706772020196457
4,school,0.004459068055011145
4,resource,0.004408562371317648
4,project,0.004280807541627305
4,build,0.004273382314789534
4,art,0.004102500685466267
4,active,0.0036178786172424743
4,heritage,0.0035871378942320628
4,workshop,0.002911672123185625
4,establish,0.0026673893297812965
4,culture,0.0025682208671423405
4,life,0.0024015224300561475
4,engage,0.0017708064542665295
5,heritage,0.466174081645562
5,art,0.3002204737845372
5,culture,0.2897256020610447
